Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Dhenuka,Melakarta,9,S R1 G2 M1 P D1 N3 S, S N3 D1 P M1 G2 R1 S
Dhunibhinnashadjam,Janyam,9,S R1 G2 R1 P M1 P N3 S, S D1 P M1 G2 R1 S
Bhinnashadjam,Janyam,9,S R1 G2 R1 P M1 P N3 S, S D1 P M1 G2 R1 S
Mohananāta,Janyam,9,S G2 M1 P D1 P M1 P N3 S, S N3 P D1 P M1 G2 S
Udhaya Ravi Candrikā,Janyam,9,S G2 M1 P N3 S, S N3 P M1 G2 S
Vasanthatodi,Janyam,9,S R1 G2 M1 D1 N3 S, S N3 D1 M1 R1 S
Nātakapriya,Melakarta,10,S R1 G2 M1 P D2 N2 S, S N2 D2 P M1 G2 R1 S
Natābharanam,Janyam,10,S R1 G2 M1 P D2 N2 S, S N2 D2 P M1 G2 R1 S
Alankārapriya,Janyam,10,S R1 G2 M1 D2 N2 S, S N2 D2 M1 G2 R1 S
Bhāgyashabari,Janyam,10,S R1 G2 M1 D2 N2 S, S N2 D2 M1 G2 R1 S
Deeparamu,Janyam,10,S R1 G2 M1 P D2 N2 S, S N2 D2 N2 P M1 G2 R1 S
Gunāvati,Janyam,10,S R1 M1 P D2 S, S D2 P M1 R1 S
Hindoladeshikam,Janyam,10,S M1 R1 G2 M1 P D2 N2 S, S P N2 D2 M1 G2 R1 S
Kanakadri,Janyam,10,S R1 G2 P D2 S, S N2 D2 P M1 G2 R1 S
Mātangakāmini,Janyam,10,S G2 M1 P D1 N2 S, S N2 D1 P M1 G2 S
Nātyadhārana,Janyam,10,S R1 M1 P D2 S, S N2 D2 P M1 R1 S
Niranjana,Janyam,10,S R1 G2 M1 P D2 S, S N2 D2 P M1 G2 R1 S
Shānthabhāshini,Janyam,10,S R1 G2 M1 P D2 S, S N2 D2 P M1 S
Shivashakti,Janyam,10,S G2 M1 D2 S, S N2 D2 M1 G2 S
Sindu Bhairavi,Janyam,10,S R2 G2 M1 G2 P D1 N2 S, N2 D1 P M1 G2 R1 S N2 S
Kokilapriyaa,Melakarta,11,S R1 G2 M1 P D2 N3 S, S N3 D2 P M1 G2 R1 S
Kokilāravam,Janyam,11,S R1 M1 P D2 N3 S, S N3 D2 P M1 G2 R2 S
Chitramani,Janyam,11,S R1 M1 P D2 N3 S, S N3 D2 P M1 G2 R1 S
Jnānachintāmani,Janyam,11,S R1 M1 D2 N3 S, S N3 D2 P M1 R1 S
