Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Aymmukhan,Janyam,21,S G2 M1 P D1 N3 S, S N3 D1 P M1 G2 S
Bhānupriya,Janyam,21,S R2 G2 D1 N3 S, S N3 D1 G2 R2 S
Chandrika,Janyam,21,S R2 G2 P D1 N3 S, S N3 D1 P G2 R2 S
Gaganabhoopālam,Janyam,21,S M1 G2 M1 P D1 N3, S N3 D1 M1 G2 R2 S
Hamsapancama,Janyam,21,S G2 M1 P N3 D1 N3 P S, S N3 D1 M1 G2 R2 S
Hamsavāhini,Janyam,21,S R2 M1 P D1 N3 S, S N3 D1 P M1 R2 S
Jayashree,Janyam,21,S R2 G2 M1 P D1 N3 D1 S, S N3 D1 P M1 G2 R2 S
"Kadaram (Chandra, Chandrakowns)",Janyam,21,S G2 M1 D1 N3 S, S N3 D1 M1 G2 S
Kalyāna Vasantam,Janyam,21,S G2 M1 D1 N3 S, S N3 D1 P M1 G2 R2 S
Kusumāvali,Janyam,21,S G2 M1 P D1 S, S N3 D1 P M1 G2 M1 R1 S
Mādhavi,Janyam,21,S M1 G2 M1 P D1 N3 S, S N3 D1 P M1 S M1 G2 R1 S
Mishramanolayam,Janyam,21,S R2 M1 P D1 S, S D2 D1 P M1 R2 S
Priyadarshani,Janyam,21,S R2 M1 D1 N3 S, S N3 D1 M1 R2 S
Rishipriya,Janyam,21,S R2 G2 M1 P D1 N3 S, S N3 P M1 G2 R2 S
Sāmapriya,Janyam,21,S R2 M1 P D1 S, S D1 P M1 R2 S
Shrothasvini,Janyam,21,S G2 M1 P N3 S, S N3 P M1 G2 S
Vasanthamanohari,Janyam,21,S R2 G2 M1 D1 N3 S, S N3 D1 M1 G2 R2 S
Kharaharapriya,Melakarta,22,S R2 G2 M1 P D2 N2 S, S N2 D2 P M1 G2 R2 S
Shree,Janyam,22,S R2 M1 P N2 S, S N2 P D2 N2 P M1 R2 G2 R2 S
Abheri,Janyam,22,S G2 M1 P N2 S, S N2 D2 P M1 G2 R2 S
Abhogi,Janyam,22,S R2 G2 M1 D2 S, S D2 M1 G2 R2 S
Ādi Kāpi,Janyam,22,S R2 M1 G2 M1 P D2 N2 S, S N2 D2 P M1 G2 R2 S
Āryamati,Janyam,22,S R2 G2 P D2 S, S N2 D2 P D2 M1 G2 R2 S
Agnikopa,Janyam,22,S G2 M1 P N2 S, S N2 P M1 G2 R2 S
Asāveri,Janyam,22,S R2 G2 M1 D2 N2 S, S N2 D2 M1 P D2 M1 G2 R2 S
Bālachandrika,Janyam,22,S G2 M1 P D2 N2 S, S N2 D2 M1 G2 R2 S
Basant Bahār,Janyam,22,S M2 P G3 M2 N3 D1 N3 S, R2 S N2 D2 P M1 G2 M1 G2 R2 S
Bhāgeshri,Janyam,22,S G2 M1 D2 N2 S, S N2 D2 M1 P D2 G2 M1 R2 S
Bhagavatapriya,Janyam,22,S R2 G2 M1 P N2 S, S N2 D2 P M1 G2 R2 S
Bhagavathpriya,Janyam,22,S R2 G2 M1 R2 M P D2 N S, S N2 D2 P M1 R2 S
Bhimpalās,Janyam,22,N2 S G2 M1 P N2 S, S N2 D2 P M1 G2 R2 S
Brindāvana Sāranga,Janyam,22,S R2 M1 P N3 S, S N2 P M1 R2 G2 R2 S
Brindāvani,Janyam,22,S R2 M1 P N3 S, S N2 P M1 R2 S
Chakrapradipta,Janyam,22,S R2 G2 M1 P M1 D2 N2 S, S N2 D2 M1 G2 S
Chitta Ranjani,Janyam,22,S R2 G2 M1 P D2 N2, N2 D2 P M1 G2 R2 S
Darbār,Janyam,22,S R2 M1 P D2 N2 S, R2 S N2 S D2 P M1 R2 G2 G2 R2 S
Dayavati,Janyam,22,S R2 G2 P N2 S, S N2 P M1 G2 S
Devāmruthavarshani,Janyam,22,S R2 G2 M1 N2 D2 N2 S, S N2 D2 P M1 G2 R2 S
Deva Manohari,Janyam,22,S R2 M1 P D2 N2 S, S N2 D2 N2 P M1 R2 S
Dhanakāpi,Janyam,22,S R2 M1 P N2 S , S N2 D2 N2 P M1 G2 R2 S
Dilipika,Janyam,22,S R2 G2 M1 P N2 D2 N2 P D2 N2 S, S N2 D2 P M1 G2 R2 S
Durga,Janyam,22,S R2 M1 D2 P D2 S, S D2 P M1 R2 S
Gowla Kannada,Janyam,22,S R2 G2 M1 P D2 N2 S, S N2 P M1 G2 S
Hamsa ābheri,Janyam,22,S G2 P M1 P N2 S, S N2 D2 P M1 G2 S
Haridasapriya,Janyam,22,S P M1 G3 M1 P N2 S, S N2 D2 N2 P M1 G2 R2 S
Harinārāyani,Janyam,22,S R2 G2 M1 P M1 D2 N2 S, S N2 P M1 G2 R2 S
Hindustāni Kāpi,Janyam,22,S R2 M1 P N2 S, S N2 D2 N2 P M1 G2 M1 D2 P G2 R2 S N2 S
Huseni,Janyam,22,S R2 G2 M1 P N2 D2 N2 S, S N2 D1 P M1 G2 R2 S
Huseni,Janyam,22,S R2 G3 M1 P N3 D2 M1 P N3 S, S N3 S P D2 M1 P G3 R2 S
Jayamanohari,Janyam,22,S R2 G2 M1 D2 S, S N2 D2 M1 G2 R2 S
Jayanārāyani,Janyam,22,S R2 G2 M1 P D2 S, S N2 D2 P M1 G2 R2 S
Jayanthasena,Janyam,22,S G2 M1 P D2 S, S N2 D2 P M1 G2 S
Kanadā,Janyam,22,S R2 G2 M1 D N2 S, S N2 P M1 G2 M1 R2 S
Kāpi,Janyam,22,S R2 M1 P N3 S, S N2 D2 N2 P M1 G2 R2 S
Kāpijingala,Janyam,22,S N2 S R2 G2 M1, M1 G2 R2 S N2 D2 N2 S
Kalānidhi,Janyam,22,S R2 G2 M1 S P M1 D2 N2 S, S N2 D2 P M1 G2 R2 S
Kalika,Janyam,22,S R2 G2 P D2 N2 S, S N2 D2 P G2 R2 S
Kannadagowla,Janyam,22,S R2 G2 M1 P N2 S, S N2 D2 P M1 G2 S
Karnātaka Hindolam,Janyam,22,S G2 M1 D2 N2 S, S N2 D2 M1 G2 S
Karnātaka Kāpi,Janyam,22,S R2 G2 M1 P D2 N2 S, S N2 D2 P M1 G2 R2 S
Karnaranjani,Janyam,22,S R2 G2 M1 G2 P D2 S, S N2 D2 P M1 G2 R2 S
Kowmodaki,Janyam,22,S R2 G2 M1 P D2 N2 S, S D2 P G2 S
Kowshika,Janyam,22,S G2 M1 D2 N2 S, S N2 D2 M1 G2 M1 R2 S
Lalitamanohari,Janyam,22,S G2 M1 P D2 N2 S, S N2 P M1 G2 R2 S
Mādhavamanohari,Janyam,22,S R2 G3 M1 P N2 D2 N2 S, S N2 D2 M1 G2 R2 S
Mālavashree,Janyam,22,S G2 M1 P N2 D2 N2 P D2 N2 S, S N2 D2 P M1 G2 R2 S
Mārgahindolam,Janyam,22,S R2 G2 M1 P D2 N2 S, S N2 D2 P M1 G2 S
Māyapradeeptam,Janyam,22,S M1 G2 M1 P D2 N2 S, S D2 P M1 G2 R2 S
Madhyamarāvali,Janyam,22,S R2 G2 P D2 N2 S, S N2 D2 P G2 R2 S
Madhyamāvathi,Janyam,22,S R2 M1 P N2 S, S N2 P M1 R2 S
Mahānandhi,Janyam,22,S R2 G2 P D2 S, S D2 P G2 R2 S
Mandāmari,Janyam,22,S R2 M1 P D2 S, S N2 S D2 P M1 G2 R2 S
Mangalāvathi,Janyam,22,S R2 M1 P D2 S, S D2 P M1 G2 R2 S
Manirangu,Janyam,22,S R2 M1 P N2 S, S N2 P M1 G2 R2 S
Manjari,Janyam,22,S G2 R2 G2 M1 P N2 D2 N2 S, S N2 D2 P M1 G2 R2 S
Manohari,Janyam,22,S G2 R2 G2 M1 P D2 S, S D2 P M1 G2 R2 S
Manorama,Janyam,22,S R2 G2 M1 P D1 P S, S N2 D1 P M1 G2 R2 S
Maruvadhanyāsi,Janyam,22,S G2 M1 P D2 S, S N2 D2 P M1 D2 M1 G2 R2 S
Mishramanolayam,Janyam,22,S R2 M1 P D1 S, S D2 D1 P M1 R2 S
Mishrashivaranjani,Janyam,22,S R2 G2 P D2 S, S D2 P G3 G2 R2 S
Miyan Malhār,Janyam,22,S R2 P M1 P N2 D2 N2 S, S N2 P M1 P G2 M1 R2 S
Moorthee,Janyam,22,S G2 M1 D2 N2 S, S N2 D2 M1 G2 S
Mukhāri,Janyam,22,S R2 M1 P N2 D2 S, S N2 D1 P M1 G2 R2 S
Nādachintāmani,Janyam,22,S R2 G2 M1 N2 D2 N2 S, S N2 D2 P M1 G2 R2 S
Nādatārangini,Janyam,22,S P M1 R2 G2 S, S P N2 D2 P M1 G2 R2 G2 S
Nādavarangini,Janyam,22,S P M1 N2 D2 N2 S, S P N2 D2 P M1 G2 R2 G2 S
Nāgari,Janyam,22,S R2 M1 P D2 N2 S, S N2 D2 P M1 G2 S
Nāgavalli,Janyam,22,S R2 M1 D2 N2 S, S N2 D2 M1 R2 S
Nāyaki,Janyam,22,S R2 M1 P D2 N2 D2 P S, S N2 D2 P M1 R2 G2 R2 S
Nigamagāmini,Janyam,22,M1 G2 S G2 M1 N2 S, S N2 M1 G2 M1 G2 S
Nirmalāngi,Janyam,22,S R2 M1 P N2 S, S N2 P M1 R2 S
Omkāri,Janyam,22,S R2 G2 M1 P D2 S, S D2 P M1 G2 R2 S
Panchamam,Janyam,22,S R2 D2 P N2 S, S N2 D2 P M1 G2 R2 S
Patadeep,Janyam,22,N2 S G2 M1 P N2 S, S N2 D2 P M1 G2 R2 S N2 S G2 R2 S
Phalamanjari,Janyam,22,S G2 M1 D2 S, S N2 D2 P M1 G2 M1 R2 S
Phalaranjani,Janyam,22,S G2 M1 P M1 D2 S, S N2 D2 P M1 G2 M1 R2 S
Peeloo,Janyam,22,N2 S G3 M1 P N2 D2 P S, S N2 D2 P D2 P M1 G2 R2 S N2 S
Poornakalānidhi,Janyam,22,S G2 M1 P D2 N2 S, S D2 P M1 G2 R2 S
Pushpalathika,Janyam,22,S R2 G2 M1 P N2 S, S N2 P M1 G2 R2 S
Ratipatipriya,Janyam,22,S R2 G2 P N2 S, S N2 P G2 R2 S
Reethi Gowla,Janyam,22,S G2 R2 G2 M1 N2 D2 M1 N2 N2 S, S N2 D2 M1 G2 M1 P M1 G2 R2 S
Rudrapriyā,Janyam,22,S R2 G2 M1 N2 S, S N2 P M1 G2 R2 S
Sālagabhairavi,Janyam,22,S R2 M1 P D2 S, S N2 D2 P M1 G2 R2 S
Sārang,Janyam,22,S R2 M1 P N2 S, S N2 P M1 R2 S
Saindhavi,Janyam,22,N2 D2 N2 S R2 G2 M1 P D2 N2, D2 P M1 G2 R2 S N2 D2 N2 S
Sangrama,Janyam,22,S R2 M1 D2 N2 P S, S N2 D2 G2 R2 S
Sankrāndanapriyā,Janyam,22,S R2 G2 P D2 S, S D2 P G2 R2 S
Sarvachoodāmani,Janyam,22,S R2 M1 G2 M1 P D2 N2 S, S N2 P D2 N2 D2 P M1 G2 R2 G2 R2 S
Shivapriyā,Janyam,22,S R2 G2 P D2 S, S D2 P G2 R2 S
Shivaranjani,Janyam,22,S R2 G2 P D2 S, S D2 P G2 R2 S
Shree Manohari,Janyam,22,S G2 R2 G2 M1 P D2 S, S D2 P M1 G2 R2 S
Shree Manoranjani,Janyam,22,S G2 M1 D2 N2 S, S N2 D2 M1 G2 R2 S
Shree ranjani,Janyam,22,S R2 G2 M1 D2 N2 S, S N2 D2 M1 G2 R2 S
Siddhasena,Janyam,22,S G2 R2 G2 M1 P D2 S, S N2 D2 M1 P M1 R2 G2 R2 S
Suddha Bangāla,Janyam,22,S R2 M1 P D2 S, S D2 P M1 R2 G2 R2 S
Suddha Bhairavi,Janyam,22,S G2 M1 P N2 D2 S, S N2 D2 M1 G2 R2 S
Suddha Dhanyāsi,Janyam,22,S G2 M1 P N2 S, S N2 P M1 G2 S
Suddha Hindolam,Janyam,22,S G2 M1 D2 N2 S, S N2 D2 M1 G2 S
Suddha Manohari,Janyam,22,S R2 G2 M1 P D2 S, S N2 P M1 R2 G2 S
Suddha Velāvali,Janyam,22,S R2 M1 P N2 S, S N2 D2 N2 P M1 G2 R2 S
Sugunabhooshani,Janyam,22,S G2 M1 P M1 D2 N2 S, S N2 D2 P M1 D2 M1 R2 S
Swarabhooshani,Janyam,22,S G2 M1 P D2 N2 S, S N2 D2 P M1 R2 S
Swarakalānidhi,Janyam,22,S M1 G2 M1 P D2 N2 S, S N2 D2 N2 P M1 G2 R2 S
Swararanjani,Janyam,22,S R2 G2 M1 D2 N2 S, S N2 P M1 G2 M1 R2 S
Tavamukhāri,Janyam,22,S R2 G2 P D2 S, S N2 D2 P M1 G2 R2 S
Vajrakānti,Janyam,22,S G2 M1 P N2 S, S N2 D1 P M1 G2 R2 S
Gowri Manohari,Melakarta,23,S R2 G2 M1 P D2 N3 S, S N3 D2 P M1 G2 R2 S
Gowrivelāvali,Janyam,23,S R2 G2 S R2 M1 P D2 S, S N3 D2 P M1 G2 R2 S
Gowrivelāvali,Janyam,23,S R2 G1 G2 S R2 M1 M1 P D2 D2 S, S N3 D2 P M1 G1 G2 R2 S
Gowrishankar,Janyam,23,S R2 G2 M1 P N3 S, S N3 D2 P M1 G2 R2 S
Hamsadeepika,Janyam,23,S R2 G2 M1 D2 S, S N3 D2 P M1 G2 R2 S
Hrudkamali,Janyam,23,S R2 M1 D2 N3 S, S N3 D2 M1 R2 S
Lavanthika,Janyam,23,S R2 M1 P N3 S, S N3 P M1 R2 S
Sundaramanohari,Janyam,23,S R2 M1 P N3 S, S N3 D2 P M1 G2 R2 S
Vasantashree (Amba Manohari),Janyam,23,S R2 G2 M1 D2 N3 S, S N3 D2 M1 G2 R2 S
Velāvali,Janyam,23,S G2 M1 D2 N3 S, S N3 D2 P M1 G2 R2 S
Velāvali,Janyam,23,S R2 M1 P D2 S, S N3 D2 P M1 G2 R2 S
Velāvali,Janyam,23,S R2 G2 M1 P D2 S, S N3 D2 P M1 G2 S
Velāvali,Janyam,23,S G2 R2 M1 P D2 S, S N3 D2 P M1 G2 R2 S
Velāvali,Janyam,23,S R2 G2 S R2 M1 P D2 S, S N3 D2 P M1 G2 R2 S
Velāvali,Janyam,23,S R2 M1 P D2 N3 S, S N3 D2 P M1 G2 R2 S
Varunapriyaa,Melakarta,24,S R2 G2 M1 P D3 N3 S, S N3 D3 P M1 G2 R2 S
Veeravasantham,Janyam,24,S R2 G2 M1 P S, S N3 D3 P M1 G2 R2 S
Māraranjani,Melakarta,25,S R2 G3 M1 P D1 N1 S, S N1 D1 P M1 G3 R2 S
Sharāvathi,Janyam,25,S R2 G3 M1 P D1 N1 D1 S, S N1 D1 P M1 G3 R2 S
Devasalaga,Janyam,25,S G3 P D1 N1 S, S N1 D1 P M1 G3 R2 S
Jana Sammodhini,Janyam,25,S R2 G3 P D1 S, S D1 P G3 R2 S
Kesari,Janyam,25,S R2 G3 M1 P M1 D1 P D1 S, S D1 N1 D1 P M1 G2 R2 S
Rājathilaka,Janyam,25,S R2 G3 M1 P S, S P M1 G3 R2 S
Chārukeshi,Melakarta,26,S R2 G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R2 S
Tarangini,Janyam,26,S R2 G3 P D1 N2 D1 S, S D1 P M1 G3 R2 S
Tarangini,Janyam,26,S R2 G3 P D1 N2 D1 P D1 S, S D1 P G3 R2 S G3 M1 R2 G3 S
Chirswaroopi,Janyam,26,S R2 G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R2 S
Māravi,Janyam,26,S G3 M1 P N2 S, S N2 D1 P M1 G3 R2 S
Poorvadhanyāsi,Janyam,26,S M1 G3 M1 N2 S, S N2 D1 P M1 G3 R2 S
Shiva Manohari,Janyam,26,S M1 G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R2 S
Shukrajyothi,Janyam,26,S R2 G3 M1 P D1 N2 S, S N2 P D1 M1 G3 R2 S
Sarasāngi,Melakarta,27,S R2 G3 M1 P D1 N3 S, S N3 D1 P M1 G3 R2 S
Sowrasenā,Janyam,27,S R2 M1 P D1 S, S N3 D1 P M1 G3 R2 S
Haripriya,Janyam,27,S R1 G3 M1 P S, S N3 D1 P M1 G3 S
Kamalā Manohari,Janyam,27,S G3 M1 P N3 S, S N3 D1 P M1 G3 S
Madhulika,Janyam,27,S R2 G3 M1 N3 S, S N3 M1 G3 R2 S
Nalinakānthi,Janyam,27,S G3 R2 M1 P N3 S, S N3 P M1 G3 R2 S
Neelamani,Janyam,27,S R2 M1 P D1 N3 S, S N3 D1 P M1 R2 S
Salavi,Janyam,27,S G3 R2 G3 M1 P D1 N3 D1 S, S N3 D1 P M1 G3 R2 S
Sarasānana,Janyam,27,S R2 G3 M1 D1 N3 S, S N3 D1 M1 G3 R2 S
Saraseeruha,Janyam,27,S R2 G3 M1 D1 N1 D1 S, S N1 D1 M1 G3 R2
Simhavāhini,Janyam,27,S G2 M1 P D1 N3 S, S N3 D1 P M1 G3 R2 S
Surasena,Janyam,27,S R2 M1 P D1 S, S N3 D1 P M1 G3 S R2 S
Sutradhāri,Janyam,27,S R2 M1 P D1 S, S D1 P M1 R2 S
Vasanthi,Janyam,27,S R2 G3 P D1 S, S D1 P G3 R2 S
Harikāmbhoji,Melakarta,28,S R2 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R2 S
Harikedāragowla,Janyam,28,S R2 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R2 S
Andolikā,Janyam,28,S R2 M1 P N2 S, S N2 D2 M1 R2 S
Ambhojini,Janyam,28,S R2 G3 M1 D2 S, S D2 M1 G3 R2 S
Andhali,Janyam,28,S R2 M1 P N2 S, S N2 P M1 R2 G3 M1 R2 S
Aparoopam,Janyam,28,S R2 G3 M1 P N2 D2 N2 S, S D2 M1 G3 R2 G3 S
Bālahamsa,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 R2 M1 G3 S
Bahudāri,Janyam,28,S G3 M1 P D2 N2 S, S N2 P M1 G3 S
Bhoopāli,Janyam,28,S R2 G3 P D2 S, S D2 P G3 R2 S
Chāyalagakhamās,Janyam,28,S M1 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R2 S
Chāyatārangini,Janyam,28,S R2 M1 G3 M1 P N2 S, S N2 D2 P M1 G3 R2 S
Chandrahasitham,Janyam,28,S R2 G3 M1 D2 N2 S, S N2 D2 M1 G3 R2 S
Dasharatipriya,Janyam,28,S M1 G3 M1 P D2 N2 D2 S, S N2 D2 P M1 G3 M1 R2 S
Dayaranjani,Janyam,28,S R2 M1 P D2 S, S N2 D2 M1 G3 S
Desh,Janyam,28,S R2 M1 P N3 S, S N2 D2 P M1 G3 R2 S
Deshākshi,Janyam,28,S R2 G3 P D2 S, S N2 D2 P M1 G3 R2 S
Deshkār,Janyam,28,S R2 G3 P D2 S, S D2 P G3 R2 S
Dwaithachintāmani,Janyam,28,S G3 M1 D2 N2 S, S N2 D2 M1 P G3 R2 S
Dwaithachintāmani,Janyam,28,S G3 M1 D2 N2 S, S N2 D2 M1 G3 R2 S
Dwijāvanthi,Janyam,28,S R2 M1 G3 M1 P D2 S, S N2 D2 P M1 G3 M1 R2 G2 R2 S N2 D2 N2 S
Eeshamanohari,Janyam,28,S R2 G3 M1 P D2 N2 S, S N2 D2 P M1 R2 M1 G3 R2 S
Eeshaivaridhi,Janyam,28,S R2 M1 D2 N2 S, S N2 P M1 R2 S
Gāndhāralola,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 G3 M1 G3 R2 S
Gavathi,Janyam,28,S M1 P N3 S, S D2 M1 P G3 M1 R2 N3 S
Guhamanohari,Janyam,28,S R2 M1 D2 N2 S, S N2 D2 M1 R2 S
Guharanjani,Janyam,28,S R2 S M1 P D2 N2 S, S N2 D2 N2 P M1 G3 S
Hamsaroopini,Janyam,28,S R2 G3 P D2 S, S N2 P M1 R2 S
Haridasapriya,Janyam,28,S P M1 G3 M1 P N2 S, S N2 D2 N2 P M1 G2 R2 S
Harikedāram,Janyam,28,S R2 G3 M1 P D2 N2 S N2 S, S N2 S D2 N2 D2 P M1 G3 R2 S
Harini,Janyam,28,S G3 M1 P D2 N2 D2 S, S N2 S N2 D2 P M1 G3 M1 G2 R2 S
Harithapriya,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 G3 R2 G3 R2 S
Hemasāranga,Janyam,28,S R2 G3 M1 P D2 N2 D2 S, S P M1 G3 R2 S
Jaijaivanthi,Janyam,28,S R2 G3 R2 S D2 N2 P R2 G3 M1 P N2 S, N2 S N2 D2 P D2 M1 G3 R2 G3 R2 S
Jaithshree,Janyam,28,S R2 G3 P D2 S, S D2 P G3 R2 S
Jana Sammodhini,Janyam,28,S R2 G3 P D2 N2 S, S N2 D2 P G3 R2 S
Jayarāma,Janyam,28,S R2 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 S
Jhinjothi,Janyam,28,D2 S R2 G3 M1 P D2 N2, D2 P M1 G3 R2 S N2 D2 P D2 S
Jog (Hindustani),Janyam,28,S G3 M1 P N3 S, S N2 P M1 G3 M1 G3 S G3 S
Jujahuli,Janyam,28,S M1 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 S
Kāmbhoji,Janyam,28,S R2 G3 M1 P D2 S, S N2 D2 P M1 G3 R2 S N3. P. D2. S
Kāmbhoji,Janyam,28,S R2 G3 M1 P D2 S, S N2 D2 P M1 G3 R2 S N3 P D2 S
Kāpi Nārāyani,Janyam,28,S R2 M1 P D2 N2 S, S N2 D2 P M1 G3 R2 S
Kamās,Janyam,28,S M1 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R2 S
Karnātaka Behāg,Janyam,28,S R2 G3 M1 P D2 N2 S, S N2 D2 N2 P D2 M1 G3 R2 S
Karnātaka Devagāndhāri,Janyam,28,S G3 M1 P N2 S, S N2 D2 P M1 G3 R2 S
Karnātaka Khamās,Janyam,28,S G3 M1 P D2 N2 S, S N2 D2 P M1 G3 S
Kedāra Gowla,Janyam,28,S R2 M1 P N2 S, S N2 D2 P M1 G3 R2 S
Keshavapriyā,Janyam,28,S R2 S M1 P D2 N2 S, S N2 S P M1 G3 R2 S
Kokiladhwani,Janyam,28,S R2 G3 M1 D2 N2 D2 S, S N2 D2 P M1 G3 R2 S
Kokilavarāli,Janyam,28,S R2 M1 P D2 S, S N2 D2 M1 P M1 G3 R2 G3 S
Kunthala Varāli,Janyam,28,S M1 P D2 N2 D2 S, S N2 D2 P M1 S
Mālavi,Janyam,28,S R2 G3 M1 P M1 D2 N2 S, S N2 D2 P M1 G3 M1 R2 S
Madhurakokila,Janyam,28,S R2 G3 D2 N2 S, S N2 D2 G3 R2 S
Mahathi,Janyam,28,S G3 P N2 S, S N2 P G3 S
Mahuri,Janyam,28,S R2 M1 G3 R2 G3 P D2 S, S N2 D2 P M1 G3 R2 S R2 G3 R2 S
Manoharam,Janyam,28,S R2 G3 M1 D2 N2 S, S N2 P M1 R2 S
Mattakokila,Janyam,28,S R2 P D2 N2 D2 S, S D2 N2 D2 P R2 S
Meghana,Janyam,28,S M1 G3 M1 P D2 S, S N2 D2 M1 G3 S
Mohanam,Janyam,28,S R2 G3 P D2 S, S D2 P G3 R2 S
Nādavalli,Janyam,28,S R2 M1 D2 N2 S, S N2 D2 M1 R2 S
Nāgaswarāvali,Janyam,28,S G3 M1 P D2 S, S D2 P M1 G3 S
Nārāyana Gowla,Janyam,28,S R2 M1 P N2 D2 N2 S, S N2 D2 P M1 G3 R2 G3 S
Nārāyani,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 R2 S
Nāttai Kurinji,Janyam,28,S R2 G3 M1 N2 D2 N2 P D2 N2 S, S N2 D2 M1 G3 M1 P G3 R2 S
Nāttai Kurinji,Janyam,28,S R2 G3 M1 D2 N2 S, S N2 D2 M1 G3 S
Nāttai Kurinji,Janyam,28,S R2 G3 M1 N2 D2 N2 P D2 N2 S, S N2 D2 M1 G3 M1 P M1 G3 R2 S
Nāttai Nārāyani,Janyam,28,S R2 G3 M1 D2 N2 D2 S, S N2 D2 P M1 G3 M1 R2 S
Nandhkowns,Janyam,28,S G3 M1 P M1 D2 N2 S, S N2 D2 P M1 G3 S G3 S
Narani,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 R2 S
Navarasa Kalānidhi,Janyam,28,S R2 M1 P S N2 S, S N2 D2 P M1 G3 R2 S
Navarasa Kannada,Janyam,28,S G3 M1 P S, S N2 D2 M1 G3 R2 S
Neela,Janyam,28,S G3 M1 D2 N2 S, S N2 D2 M1 G3 S
Pārsi,Janyam,28,S R2 G3 M1 D2 N2 S, S N2 D2 P M1 G3 R2 S
Parameshwarapriyā,Janyam,28,S R2 G3 M1 P N2 S, S N2 P M1 R2 S
Pashupathipriyā,Janyam,28,S R2 M1 P M1 D2 S, S D2 M1 P R2 M1 S
Poornakāmbhoji,Janyam,28,S R2 G3 M1 P N2 S, S D2 P M1 G3 R2 S
Pratāpa Nāttai,Janyam,28,S R2 G3 M1 D2 P D2 N3 S, S N3 D2 P M1 G3 S
Pratāpavarāli,Janyam,28,S R2 M1 P D2 P S, S D2 P M1 G3 R2 S
Pravalajyoti,Janyam,28,S R2 M1 P D2 N2 S, S N2 D2 P M1 G3 S
Rāgapanjaramu,Janyam,28,S R2 M1 P D2 N2 D2 S, S N2 D2 M1 R2 S
Rāgavinodini,Janyam,28,S R2 G3 M1 D2 S, S D2 M1 G3 R2 S
Rāgeshree,Janyam,28,S G3 M1 D2 N3 S, S N2 D2 M1 G3 R2 S
Rāgeshree,Janyam,28,S G3 M1 D2 N3 S, S N3 D2 M1 G3 R2 S
Rāgeshree,Janyam,28,S G3 M1 D2 N3 S, S N3 D2 N3 D2 M1 G3 R2 S
Ravi Chandrikā,Janyam,28,S R2 G3 M1 D2 N2 D2 S, S N2 D2 M1 G3 R2 S
Sāvithri,Janyam,28,S G3 M1 P N2 S, S N2 P M1 G3 S
Sahāna,Janyam,28,S R2 G3 M1 P M1 D2 N2 S, S N2 S D2 N2 D2 P M1 G3 M1 R2 G3 R2 S
Saraswathi Manohari,Janyam,28,S R2 G3 M1 D2 S, S D2 N2 P M1 G3 R2 S
Sathvamanjari,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 N2 D2 M1 R2 S
Shakunthala,Janyam,28,S R2 G3 M1 D2 N2 S, S N2 D2 M1 G3 S
Shankaraharigowla,Janyam,28,S R2 G3 M1 P D2 N3 S, S N2 D2 P M1 G3 R2 S
Shenchukāmbhoji,Janyam,28,S P M1 D2 N2 S, S N2 D2 P M1 G3 R2 S
Chenjurutti,Janyam,28,D2 S R2 G3 M1 P D2 N2, N2 D2 P M1 G3 R2 S N2 D2 P D2 S
Shiva Kāmbhoji,Janyam,28,S R2 G3 M1 N2 S, S N2 P M1 G3 R2 S
Surutti,Janyam,28,S R2 M1 P N2 S, S N2 D2 P M1 G3 P M1 R2 S
Shyāmā,Janyam,28,S R2 M1 P D2 S, S D2 P M1 G3 R2 S
Shyāmā,Janyam,28,S R2 G3 S R2 P M1 D2 D2 S, S D2 P M1 G3 R2 S
Simhavikrama,Janyam,28,S R2 G3 R2 M1 P D2 P N2 S, S N2 D2 P M1 G3 R2 S
Sindhu Kannada,Janyam,28,S M1 G3 M1 R2 G3 M1 P D2 P S, S N2 D2 P M1 G3 R2 S
Sindhu Surutti,Janyam,28,S R2 M1 P N2 S S N2 S, S N2 D2 P M1 R2 M1 G3 R2 S
Suddha Khamās,Janyam,28,S M1 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R2 S
Suddha Varāli,Janyam,28,S R2 G3 M1 D2 N2 S, S N2 D2 N2 P M1 G3 S
Suddha,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 R2 S
Suddhatarangini,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 G3 R2 S
